Country / Territory;ISO3;Region;CPI score 2021;CPI score 2020;Change since 2020;CPI score 2017;Change since 2017;CPI Score 2012;Change since 2012;;;;;;;
Guyana;GUY;AME;39;41;-2;38;1;28;11;;;;;;;
Morocco;MAR;MENA;39;40;-1;40;-1;37;2;;;;;;;
Colombia;COL;AME;39;39;0;37;2;36;3;;;;;;;
Ethiopia;ETH;SSA;39;38;1;35;4;33;6;;;;;;;
Suriname;SUR;AME;39;38;1;41;-2;37;2;;;;;;;
Tanzania;TZA;SSA;39;38;1;36;3;35;4;;;;;;;
Kosovo;KSV;ECA;39;36;3;39;0;34;5;;;;;;;
Vietnam;VNM;AP;39;36;3;35;4;31;8;;;;;;;
North Macedonia;MKD;ECA;39;35;4;35;4;43;-4;;;;;;;
Argentina;ARG;AME;38;42;-4;39;-1;35;3;;;;;;;
Lesotho;LSO;SSA;38;41;-3;42;-4;45;-7;;;;;;;
Turkey;TUR;ECA;38;40;-2;40;-2;49;-11;;;;;;;
Brazil;BRA;AME;38;38;0;37;1;43;-5;;;;;;;
Serbia;SRB;ECA;38;38;0;41;-3;39;-1;;;;;;;
Indonesia;IDN;AP;38;37;1;37;1;32;6;;;;;;;
Kazakhstan;KAZ;ECA;37;38;-1;31;6;28;9;;;;;;;
Sri Lanka;LKA;AP;37;38;-1;38;-1;40;-3;;;;;;;
Gambia;GMB;SSA;37;37;0;30;7;34;3;;;;;;;
Ecuador;ECU;AME;36;39;-3;32;4;32;4;;;;;;;
Peru;PER;AME;36;38;-2;37;-1;38;-2;;;;;;;
Cote d'Ivoire;CIV;SSA;36;36;0;36;0;29;7;;;;;;;
Panama;PAN;AME;36;35;1;37;-1;38;-2;;;;;;;
Moldova;MDA;ECA;36;34;2;31;5;36;0;;;;;;;
Albania;ALB;ECA;35;36;-1;38;-3;33;2;;;;;;;
Thailand;THA;AP;35;36;-1;37;-2;37;-2;;;;;;;
Bosnia and Herzegovina;BIH;ECA;35;35;0;38;-3;42;-7;;;;;;;
